"","incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","new_georeferenced_column","zipcode"
"541",223928178,"February",3,2021,21:45:00,"BRONX",40,2,"MULTI DWELL - PUBLIC HOUS",TRUE,"18-24","M","BLACK","25-44","M","BLACK",1007373,232752,40.8055043470001,-73.9164772519999,"POINT (-73.91647725199994 40.80550434700007)",10454
"542",227344203,"April",23,2021,21:35:00,"BROOKLYN",71,0,"MULTI DWELL - APT BUILD",FALSE,"18-24","M","BLACK","25-44","M","BLACK",996262,181980,40.666169854,-73.956702704,"POINT (-73.95670270399995 40.66616985400003)",11225
"543",232978772,"August",31,2021,23:53:00,"MANHATTAN",25,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","WHITE","18-24","M","BLACK",1002785,230463,40.7992324860001,-73.933056198,"POINT (-73.93305619799997 40.799232486000044)",10035
"544",227950646,"May",6,2021,15:07:00,"BRONX",49,0,NA,TRUE,"25-44","M","BLACK","18-24","M","BLACK",1021136,251009,40.8555677900001,-73.8666626419999,"POINT (-73.86666264199994 40.85556779000007)",10462
"545",231823648,"August",5,2021,02:58:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"18-24","M","BLACK",1020874,237525,40.818559244,-73.867683367,"POINT (-73.86768336699998 40.81855924400003)",10473
"546",233828558,"September",20,2021,19:30:00,"BRONX",43,2,"MULTI DWELL - PUBLIC HOUS",FALSE,NA,NA,NA,"25-44","M","BLACK",1022040,240165,40.825800379,-73.86345589,"POINT (-73.86345588999995 40.825800379000036)",10472
"547",227089382,"April",16,2021,10:45:00,"QUEENS",103,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1042835,194388,40.7000412200001,-73.7887170779999,"POINT (-73.78871707799993 40.70004122000006)",11433
"548",231965179,"August",8,2021,00:30:00,"BROOKLYN",75,0,NA,FALSE,NA,NA,NA,"45-64","M","BLACK",1015110,178038,40.655304308,-73.888780847,"POINT (-73.88878084699996 40.65530430800004)",11207
"549",233172872,"September",3,2021,20:35:00,"BRONX",47,0,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"25-44","M","BLACK",1027062,262581,40.887302596,-73.84516691,"POINT (-73.84516691 40.88730259600004)",10466
"550",230412254,"July",3,2021,22:03:00,"MANHATTAN",23,0,NA,FALSE,NA,NA,NA,"25-44","M","BLACK",998746,229343,40.796165939,-73.94764679,"POINT (-73.94764678999996 40.79616593900005)",10029
