"incident_key","month","day","year","occur_time","boro","precinct","jurisdiction_code","location_desc","statistical_murder_flag","perp_age_group","perp_sex","perp_race","vic_age_group","vic_sex","vic_race","x_coord_cd","y_coord_cd","latitude","longitude","lon_lat","zipcode","new_georeferenced_column"
191311565,"December",18,2018,16:33:00,"BROOKLYN",81,2,"MULTI DWELL - PUBLIC HOUS",TRUE,NA,NA,NA,"18-24","M","BLACK",1005387.6875,187682.109375,40.681803776,-73.9237901659999,"POINT (-73.92379016599995 40.68180377600004)",11233,NA
187205649,"September",4,2018,20:53:00,"MANHATTAN",34,0,NA,FALSE,NA,NA,NA,"25-44","M","WHITE HISPANIC",1003528.875,250419.4375,40.8540056200001,-73.9303121089999,"POINT (-73.93031210899994 40.854005620000066)",10040,NA
186787754,"August",23,2018,19:30:00,"BROOKLYN",75,0,"MULTI DWELL - APT BUILD",FALSE,NA,NA,NA,"18-24","M","BLACK",1020002.5625,184164.171875,40.672100877,-73.871115408,"POINT (-73.87111540799998 40.672100877000055)",11208,NA
183583891,"June",7,2018,13:12:00,"MANHATTAN",32,0,"MULTI DWELL - APT BUILD",FALSE,"25-44","M","BLACK","25-44","M","BLACK",1000964.625,240134.25,40.825781002,-73.9396069969999,"POINT (-73.93960699699994 40.82578100200004)",10039,NA
178830278,"May",1,2018,22:00:00,"BRONX",42,0,NA,FALSE,"18-24","M","WHITE HISPANIC","25-44","M","WHITE HISPANIC",1011837.0625,239059.390625,40.8228035550001,-73.900326389,"POINT (-73.90032638899999 40.822803555000064)",10459,NA
185015374,"July",8,2018,22:00:00,"BROOKLYN",70,0,NA,FALSE,NA,NA,NA,"18-24","M","BLACK",995293.875,176595.140625,40.6513908580001,-73.960201248,"POINT (-73.96020124799998 40.65139085800007)",11226,NA
177462972,"April",3,2018,00:10:00,"MANHATTAN",26,2,"MULTI DWELL - PUBLIC HOUS",FALSE,"<18","M","WHITE HISPANIC","18-24","M","BLACK",996138,237006.578125,40.8172042400001,-73.9570524339999,"POINT (-73.95705243399993 40.81720424000008)",10027,NA
185760787,"July",28,2018,22:16:00,"BROOKLYN",61,0,NA,FALSE,"18-24","M","BLACK","25-44","M","BLACK",1001757.6875,157836.296875,40.599891353,-73.936955457,"POINT (-73.93695545699995 40.59989135300003)",11229,NA
186329304,"August",12,2018,19:50:00,"BROOKLYN",84,0,NA,FALSE,"25-44","M","BLACK","65+","M","BLACK",989154.6875,193164.265625,40.6968749150001,-73.982313752,"POINT (-73.98231375199998 40.69687491500008)",11201,NA
176027888,"March",17,2018,00:46:00,"BRONX",43,0,NA,FALSE,"25-44","M","UNKNOWN","25-44","M","WHITE HISPANIC",1018728.5,242744.234375,40.83289318,-73.875407969,"POINT (-73.87540796899998 40.83289318000004)",10472,NA
